AL,Alagoas,27778.506
AP,Amapa,142828.521
AM,Amazonas,1559159.148
BA,Bahia,564733.177
AC,Acre,164123.040
CE,Ceara,148920.472
DF,Distrito Federal,5779.999
ES,Espirito Santo,46095.583
GO,Goias,340111.783
MA,Maranhao,331937.450
teste,teste,teste,1
